序号,基金代码,基金简称,日期,万份收益,年化收益率7日,年化收益率14日,年化收益率28日,近1月,近3月,近6月,近1年,近2年,近3年,近5年,今年来,成立来,手续费
75,000912,英大现金宝A,2026-04-23,0.358,1.323,1.3321,1.3623,0.12,0.34,0.7,1.45,3.15,5.47,10.06,0.43,33.43,0.00%
76,002469,华泰柏瑞交易货币B,2026-04-23,0.3706,1.37,1.3726,1.3847,0.12,0.35,0.7,1.45,3.27,5.58,10.38,0.43,25.42,0.00%
77,002299,招商招福宝货币B,2026-04-23,0.3637,1.336,1.336,1.3549,0.11,0.35,0.71,1.45,3.26,5.6,10.41,0.44,22.34,0.00%
78,003871,华泰柏瑞天添宝货币B,2026-04-23,0.381,1.326,1.3301,1.3462,0.12,0.34,0.7,1.45,3.28,5.57,10.35,0.43,27.68,0.00%
79,003753,工银如意货币B,2026-04-23,0.3736,1.278,1.2739,1.3082,0.11,0.34,0.7,1.45,3.25,5.53,10.3,0.43,27.29,0.00%
80,004282,博时兴荣货币B,2026-04-23,0.363,1.344,1.4232,1.3897,0.12,0.35,0.71,1.45,3.13,5.24,9.14,0.43,24.12,0.00%
81,004589,民生加银腾元宝货币B,2026-04-23,0.3301,1.309,1.3699,1.3464,0.12,0.34,0.69,1.45,3.23,5.43,10.2,0.43,20.98,0.00%
82,630012,华商现金增利货币A,2026-04-23,0.3678,1.313,1.3155,1.3181,0.11,0.34,0.69,1.45,3.27,5.56,9.19,0.43,36.35,0.00%
83,017930,华泰柏瑞交易货币D,2026-04-23,0.3706,1.37,1.3726,1.3859,0.12,0.35,0.7,1.45,3.27,5.58,,0.43,5.94,0.00%
84,018659,德邦如意货币E,2026-04-23,0.338,1.235,1.3206,1.3782,0.12,0.35,0.7,1.45,3.23,,,0.44,5.25,0.00%
85,019967,工银如意货币C,2026-04-23,0.3733,1.278,1.2739,1.3082,0.11,0.34,0.7,1.45,3.25,,,0.43,4.33,0.00%
86,001926,兴业鑫天盈货币B,2026-04-23,0.5007,1.374,1.3674,1.3847,0.12,0.34,0.7,1.44,3.26,5.49,10.34,0.43,29.31,0.00%
87,001937,兴银现金增利货币,2026-04-23,0.364,1.331,1.3357,1.3497,0.11,0.34,0.7,1.44,3.16,5.45,10.23,0.43,28.85,0.00%
88,001992,农银天天利货币B,2026-04-23,0.3511,1.384,1.369,1.3695,0.12,0.34,0.7,1.44,3.08,5.13,9.3,0.43,27.86,0.00%
89,002748,中欧货币D,2026-04-23,0.3551,1.341,1.3411,1.3639,0.12,0.34,0.7,1.44,3.24,5.46,9.98,0.43,26.81,0.00%
90,004120,国富安享货币B,2026-04-23,0.3474,1.35,1.3178,1.3553,0.12,0.34,0.7,1.44,3.23,5.46,10.01,0.43,23.93,0.00%
91,004167,安信活期宝货币B,2026-04-23,0.3986,1.291,1.2827,1.4015,0.12,0.34,0.69,1.44,3.26,5.51,10.34,0.43,27.21,0.00%
92,004286,华富天盈货币B,2026-04-23,0.4721,1.549,1.4148,1.436,0.12,0.35,0.7,1.44,3.15,5.19,8.92,0.44,22.8,0.00%
93,004985,博时合晶货币B,2026-04-23,0.3608,1.334,1.356,1.368,0.12,0.34,0.7,1.44,3.22,5.56,9.35,0.43,19.81,0.00%
94,004984,鹏扬现金通利货币B,2026-04-23,0.346,1.295,1.2824,1.2895,0.11,0.34,0.7,1.44,3.23,5.43,9.73,0.42,21.53,0.00%
95,014610,鹏华兴鑫宝货币C,2026-04-23,0.3672,1.349,1.3694,1.3794,0.12,0.34,0.7,1.44,3.26,5.59,,0.43,8.43,0.00%
96,166015,中欧货币B,2026-04-23,0.3551,1.341,1.3322,1.3547,0.12,0.34,0.7,1.44,3.24,5.46,9.98,0.43,45.82,0.00%
97,660107,农银货币B,2026-04-23,0.3422,1.326,1.3413,1.3397,0.12,0.34,0.69,1.44,3.24,5.44,9.98,0.43,60.31,0.00%
98,000540,国金金腾通货币A,2026-04-23,0.3883,1.41,1.3955,1.3377,0.11,0.33,0.68,1.43,3.2,5.37,10.09,0.42,42.17,0.00%
99,002679,工银安盈货币A,2026-04-23,0.3446,1.312,1.312,1.3492,0.12,0.33,0.69,1.43,3.23,5.55,9.98,0.42,27.38,0.00%
100,003538,招商招利宝货币B,2026-04-23,0.3424,1.279,1.472,1.5031,0.12,0.34,0.68,1.43,3.22,5.53,10.19,0.42,25.63,0.00%
