序号,合约编码,合约代码,合约简称,标的证券简称(代码),合约类型,行权价,合约单位,最后交易日,行权日,到期日,交收日,新挂,涨停价格,跌停价格,前结算价,合约调整,停牌,合约总持仓,挂牌原因,原合约代码,原合约简称,原行权价格,原合约单位,合约到期剩余交易天数,合约到期剩余自然天数,下次合约调整剩余交易天数,下次合约调整剩余自然天数,交易日期
68,90006508,159922P2606M002900A,中证500ETF沽6月2862A,中证500ETF嘉实(159922),认沽,2.862,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2604,0.0001,0.021,否,否,1503.0,非新挂牌,159922P2606M002900A,中证500ETF沽6月2862A,2.862,10132,40,62,0,0,2026-04-24
69,90006509,159922P2606M002950A,中证500ETF沽6月2912A,中证500ETF嘉实(159922),认沽,2.912,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2753,0.0001,0.0259,否,否,1965.0,非新挂牌,159922P2606M002950A,中证500ETF沽6月2912A,2.912,10132,40,62,0,0,2026-04-24
70,90006510,159922P2606M003000A,中证500ETF沽6月2961A,中证500ETF嘉实(159922),认沽,2.961,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2908,0.0001,0.0316,否,否,1001.0,非新挂牌,159922P2606M003000A,中证500ETF沽6月2961A,2.961,10132,40,62,0,0,2026-04-24
71,90006511,159922P2606M003100A,中证500ETF沽6月3060A,中证500ETF嘉实(159922),认沽,3.06,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.3267,0.0001,0.0477,否,否,807.0,非新挂牌,159922P2606M003100A,中证500ETF沽6月3060A,3.06,10132,40,62,0,0,2026-04-24
72,90006512,159922P2606M003200A,中证500ETF沽6月3158A,中证500ETF嘉实(159922),认沽,3.158,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.3703,0.0001,0.0717,否,否,627.0,非新挂牌,159922P2606M003200A,中证500ETF沽6月3158A,3.158,10132,40,62,0,0,2026-04-24
73,90006513,159919C2606M005750A,沪深300ETF购6月5664A,沪深300ETF嘉实(159919),认购,5.664,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.445,0.0001,0.0104,否,否,2567.0,非新挂牌,159919C2606M005750A,沪深300ETF购6月5664A,5.664,10153,40,62,0,0,2026-04-24
74,90006514,159919P2606M005750A,沪深300ETF沽6月5664A,沪深300ETF嘉实(159919),认沽,5.664,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.1971,0.1961,0.6966,否,否,224.0,非新挂牌,159919P2606M005750A,沪深300ETF沽6月5664A,5.664,10153,40,62,0,0,2026-04-24
75,90006515,159901C2606M004000A,深证100ETF购6月3903A,深证100ETF易方达(159901),认购,3.903,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4689,0.0001,0.0924,否,否,1141.0,非新挂牌,159901C2606M004000A,深证100ETF购6月3903A,3.903,10248,40,62,0,0,2026-04-24
76,90006516,159901P2606M004000A,深证100ETF沽6月3903A,深证100ETF易方达(159901),认沽,3.903,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5691,0.0001,0.1857,否,否,153.0,非新挂牌,159901P2606M004000A,深证100ETF沽6月3903A,3.903,10248,40,62,0,0,2026-04-24
77,90006517,159915C2606M003500,创业板ETF购6月3500,创业板ETF易方达(159915),认购,3.5,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.0485,0.0001,0.3029,否,否,14873.0,非新挂牌,159915C2606M003500,创业板ETF购6月3500,3.5,10000,40,62,0,0,2026-04-24
78,90006518,159915P2606M003500,创业板ETF沽6月3500,创业板ETF易方达(159915),认沽,3.5,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.7535,0.0001,0.0991,否,否,11195.0,非新挂牌,159915P2606M003500,创业板ETF沽6月3500,3.5,10000,40,62,0,0,2026-04-24
79,90006519,159922C2606M003300A,中证500ETF购6月3257A,中证500ETF嘉实(159922),认购,3.257,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4827,0.0001,0.1497,否,否,1145.0,非新挂牌,159922C2606M003300A,中证500ETF购6月3257A,3.257,10132,40,62,0,0,2026-04-24
80,90006520,159922P2606M003300A,中证500ETF沽6月3257A,中证500ETF嘉实(159922),认沽,3.257,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4246,0.0001,0.1062,否,否,864.0,非新挂牌,159922P2606M003300A,中证500ETF沽6月3257A,3.257,10132,40,62,0,0,2026-04-24
81,90006521,159915C2606M003600,创业板ETF购6月3600,创业板ETF易方达(159915),认购,3.6,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.9825,0.0001,0.2369,否,否,15818.0,非新挂牌,159915C2606M003600,创业板ETF购6月3600,3.6,10000,40,62,0,0,2026-04-24
82,90006522,159915P2606M003600,创业板ETF沽6月3600,创业板ETF易方达(159915),认沽,3.6,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.8266,0.0001,0.1322,否,否,9526.0,非新挂牌,159915P2606M003600,创业板ETF沽6月3600,3.6,10000,40,62,0,0,2026-04-24
