板块名称,涨跌幅,主力净流入,板块异动总次数,板块异动最频繁个股及所属类型-股票代码,板块异动最频繁个股及所属类型-股票名称,板块异动最频繁个股及所属类型-买卖方向,板块具体异动类型列表及出现次数
半导体,1.11,471742.976,767,920181,赛英电子,大笔买入,"[{'t': 8201, 'ct': 160}, {'t': 128, 'ct': 110}, {'t': 8203, 'ct': 88}, {'t': 64, 'ct': 85}, {'t': 8193, 'ct': 77}, {'t': 8194, 'ct': 60}, {'t': 8202, 'ct': 50}, {'t': 8221, 'ct': 22}, {'t': 8218, 'ct': 19}, {'t': 8204, 'ct': 17}, {'t': 8213, 'ct': 15}, {'t': 8215, 'ct': 13}, {'t': 8222, 'ct': 9}, {'t': 8208, 'ct': 7}, {'t': 8217, 'ct': 6}, {'t': 8219, 'ct': 6}, {'t': 8207, 'ct': 5}, {'t': 8209, 'ct': 3}, {'t': 8220, 'ct': 3}, {'t': 4, 'ct': 2}, {'t': 8210, 'ct': 2}, {'t': 8212, 'ct': 2}, {'t': 8214, 'ct': 2}, {'t': 8216, 'ct': 2}, {'t': 16, 'ct': 1}, {'t': 8211, 'ct': 1}]"
电网概念,-1.29,-576409.1136,764,002606,大连电瓷,大笔买入,"[{'t': 64, 'ct': 118}, {'t': 8193, 'ct': 104}, {'t': 128, 'ct': 66}, {'t': 8202, 'ct': 66}, {'t': 8194, 'ct': 46}, {'t': 8218, 'ct': 44}, {'t': 8201, 'ct': 43}, {'t': 8203, 'ct': 33}, {'t': 8204, 'ct': 32}, {'t': 8220, 'ct': 28}, {'t': 8, 'ct': 27}, {'t': 32, 'ct': 25}, {'t': 8219, 'ct': 23}, {'t': 8214, 'ct': 17}, {'t': 8212, 'ct': 14}, {'t': 8216, 'ct': 11}, {'t': 8221, 'ct': 10}, {'t': 8210, 'ct': 9}, {'t': 4, 'ct': 8}, {'t': 16, 'ct': 7}, {'t': 8208, 'ct': 7}, {'t': 8213, 'ct': 7}, {'t': 8217, 'ct': 7}, {'t': 8222, 'ct': 5}, {'t': 8215, 'ct': 4}, {'t': 8211, 'ct': 2}, {'t': 8209, 'ct': 1}]"
区块链,-0.73,-519354.1888,756,000889,中嘉博创,大笔买入,"[{'t': 8193, 'ct': 105}, {'t': 64, 'ct': 100}, {'t': 128, 'ct': 81}, {'t': 8218, 'ct': 68}, {'t': 8201, 'ct': 51}, {'t': 8202, 'ct': 47}, {'t': 8194, 'ct': 46}, {'t': 8214, 'ct': 29}, {'t': 4, 'ct': 28}, {'t': 8204, 'ct': 25}, {'t': 8203, 'ct': 23}, {'t': 8219, 'ct': 23}, {'t': 16, 'ct': 21}, {'t': 8212, 'ct': 18}, {'t': 8221, 'ct': 14}, {'t': 8208, 'ct': 11}, {'t': 8217, 'ct': 9}, {'t': 8220, 'ct': 9}, {'t': 8213, 'ct': 8}, {'t': 8215, 'ct': 8}, {'t': 8216, 'ct': 7}, {'t': 8, 'ct': 6}, {'t': 8222, 'ct': 6}, {'t': 32, 'ct': 4}, {'t': 8211, 'ct': 4}, {'t': 8210, 'ct': 3}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}]"
信创,-0.68,55219.1744,748,002528,ST英飞拓,大笔买入,"[{'t': 64, 'ct': 98}, {'t': 8218, 'ct': 91}, {'t': 128, 'ct': 77}, {'t': 8193, 'ct': 76}, {'t': 8201, 'ct': 66}, {'t': 8202, 'ct': 58}, {'t': 8194, 'ct': 50}, {'t': 8203, 'ct': 40}, {'t': 8204, 'ct': 40}, {'t': 8214, 'ct': 28}, {'t': 8212, 'ct': 20}, {'t': 8221, 'ct': 16}, {'t': 4, 'ct': 15}, {'t': 16, 'ct': 12}, {'t': 8208, 'ct': 9}, {'t': 8216, 'ct': 9}, {'t': 8219, 'ct': 9}, {'t': 8217, 'ct': 8}, {'t': 8215, 'ct': 6}, {'t': 8, 'ct': 5}, {'t': 8210, 'ct': 3}, {'t': 8213, 'ct': 3}, {'t': 8220, 'ct': 3}, {'t': 8222, 'ct': 3}, {'t': 32, 'ct': 2}, {'t': 8207, 'ct': 1}]"
山东板块,-0.53,-305839.616,732,002891,中宠股份,大笔买入,"[{'t': 8201, 'ct': 79}, {'t': 8193, 'ct': 68}, {'t': 8202, 'ct': 58}, {'t': 8218, 'ct': 58}, {'t': 64, 'ct': 54}, {'t': 8194, 'ct': 53}, {'t': 128, 'ct': 51}, {'t': 8, 'ct': 38}, {'t': 32, 'ct': 35}, {'t': 8204, 'ct': 31}, {'t': 8203, 'ct': 27}, {'t': 8220, 'ct': 23}, {'t': 8214, 'ct': 22}, {'t': 8219, 'ct': 22}, {'t': 8216, 'ct': 17}, {'t': 8215, 'ct': 15}, {'t': 8212, 'ct': 13}, {'t': 8213, 'ct': 12}, {'t': 8221, 'ct': 12}, {'t': 8208, 'ct': 11}, {'t': 8217, 'ct': 8}, {'t': 8210, 'ct': 6}, {'t': 8222, 'ct': 6}, {'t': 8211, 'ct': 5}, {'t': 4, 'ct': 4}, {'t': 16, 'ct': 2}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}]"
无人驾驶,-0.94,-1013741.3888,726,603236,移远通信,大笔卖出,"[{'t': 64, 'ct': 98}, {'t': 128, 'ct': 77}, {'t': 8193, 'ct': 76}, {'t': 8201, 'ct': 65}, {'t': 8218, 'ct': 65}, {'t': 8194, 'ct': 50}, {'t': 8202, 'ct': 44}, {'t': 8203, 'ct': 41}, {'t': 8204, 'ct': 27}, {'t': 8220, 'ct': 23}, {'t': 8219, 'ct': 20}, {'t': 8212, 'ct': 19}, {'t': 8214, 'ct': 16}, {'t': 8221, 'ct': 16}, {'t': 8, 'ct': 14}, {'t': 32, 'ct': 12}, {'t': 8213, 'ct': 10}, {'t': 8216, 'ct': 9}, {'t': 8208, 'ct': 8}, {'t': 8215, 'ct': 8}, {'t': 8222, 'ct': 6}, {'t': 8210, 'ct': 5}, {'t': 8217, 'ct': 5}, {'t': 4, 'ct': 4}, {'t': 8207, 'ct': 4}, {'t': 8209, 'ct': 2}, {'t': 16, 'ct': 1}, {'t': 8211, 'ct': 1}]"
充电桩,-1.18,-860412.7744,726,301307,美利信,大笔买入,"[{'t': 64, 'ct': 117}, {'t': 8193, 'ct': 107}, {'t': 8194, 'ct': 65}, {'t': 128, 'ct': 59}, {'t': 8202, 'ct': 54}, {'t': 8218, 'ct': 48}, {'t': 8201, 'ct': 39}, {'t': 8220, 'ct': 34}, {'t': 8203, 'ct': 28}, {'t': 8204, 'ct': 25}, {'t': 8219, 'ct': 24}, {'t': 8221, 'ct': 17}, {'t': 8214, 'ct': 15}, {'t': 8, 'ct': 14}, {'t': 32, 'ct': 12}, {'t': 8212, 'ct': 11}, {'t': 8208, 'ct': 10}, {'t': 8210, 'ct': 10}, {'t': 8216, 'ct': 10}, {'t': 8222, 'ct': 7}, {'t': 8217, 'ct': 6}, {'t': 8213, 'ct': 5}, {'t': 8215, 'ct': 3}, {'t': 4, 'ct': 2}, {'t': 8211, 'ct': 2}, {'t': 16, 'ct': 1}, {'t': 8209, 'ct': 1}]"
次新股,-0.9,-4856.3968,724,301630,同宇新材,大笔买入,"[{'t': 8193, 'ct': 250}, {'t': 8194, 'ct': 204}, {'t': 8201, 'ct': 61}, {'t': 8203, 'ct': 33}, {'t': 8218, 'ct': 28}, {'t': 8202, 'ct': 26}, {'t': 64, 'ct': 21}, {'t': 128, 'ct': 20}, {'t': 8, 'ct': 15}, {'t': 32, 'ct': 14}, {'t': 8204, 'ct': 14}, {'t': 8212, 'ct': 7}, {'t': 8209, 'ct': 5}, {'t': 8214, 'ct': 4}, {'t': 8221, 'ct': 4}, {'t': 8208, 'ct': 3}, {'t': 8217, 'ct': 3}, {'t': 8207, 'ct': 2}, {'t': 8215, 'ct': 2}, {'t': 8216, 'ct': 2}, {'t': 8220, 'ct': 2}, {'t': 8222, 'ct': 2}, {'t': 8210, 'ct': 1}, {'t': 8213, 'ct': 1}]"
通用设备,-0.79,4142.0288,719,688808,N联讯,大笔卖出,"[{'t': 8193, 'ct': 147}, {'t': 8194, 'ct': 98}, {'t': 8201, 'ct': 73}, {'t': 8218, 'ct': 61}, {'t': 8203, 'ct': 59}, {'t': 8202, 'ct': 55}, {'t': 64, 'ct': 35}, {'t': 128, 'ct': 34}, {'t': 8204, 'ct': 23}, {'t': 8219, 'ct': 21}, {'t': 8221, 'ct': 20}, {'t': 8214, 'ct': 15}, {'t': 8212, 'ct': 11}, {'t': 8220, 'ct': 11}, {'t': 8222, 'ct': 10}, {'t': 8215, 'ct': 8}, {'t': 8216, 'ct': 8}, {'t': 8213, 'ct': 7}, {'t': 8208, 'ct': 5}, {'t': 8217, 'ct': 4}, {'t': 4, 'ct': 3}, {'t': 8209, 'ct': 3}, {'t': 8, 'ct': 2}, {'t': 16, 'ct': 2}, {'t': 8210, 'ct': 2}, {'t': 8207, 'ct': 1}, {'t': 8211, 'ct': 1}]"
光通信模块,-2.07,-1734556.8768,715,688808,N联讯,大笔卖出,"[{'t': 8193, 'ct': 100}, {'t': 64, 'ct': 95}, {'t': 128, 'ct': 93}, {'t': 8194, 'ct': 93}, {'t': 8202, 'ct': 62}, {'t': 8203, 'ct': 58}, {'t': 8201, 'ct': 48}, {'t': 8204, 'ct': 37}, {'t': 8218, 'ct': 27}, {'t': 8221, 'ct': 19}, {'t': 8220, 'ct': 16}, {'t': 8219, 'ct': 13}, {'t': 8222, 'ct': 13}, {'t': 8213, 'ct': 10}, {'t': 8212, 'ct': 8}, {'t': 8208, 'ct': 6}, {'t': 8210, 'ct': 5}, {'t': 8216, 'ct': 3}, {'t': 8217, 'ct': 3}, {'t': 4, 'ct': 2}, {'t': 16, 'ct': 2}, {'t': 8, 'ct': 1}, {'t': 8207, 'ct': 1}]"
低空经济,-1.34,-841657.9584,704,600736,苏州高新,大笔卖出,"[{'t': 64, 'ct': 97}, {'t': 8193, 'ct': 85}, {'t': 8218, 'ct': 74}, {'t': 8202, 'ct': 56}, {'t': 128, 'ct': 51}, {'t': 8203, 'ct': 50}, {'t': 8201, 'ct': 45}, {'t': 8194, 'ct': 41}, {'t': 8204, 'ct': 31}, {'t': 8220, 'ct': 23}, {'t': 8214, 'ct': 22}, {'t': 8221, 'ct': 16}, {'t': 8212, 'ct': 15}, {'t': 8222, 'ct': 12}, {'t': 4, 'ct': 11}, {'t': 8219, 'ct': 11}, {'t': 16, 'ct': 9}, {'t': 8208, 'ct': 8}, {'t': 8, 'ct': 7}, {'t': 32, 'ct': 6}, {'t': 8213, 'ct': 6}, {'t': 8215, 'ct': 6}, {'t': 8216, 'ct': 6}, {'t': 8217, 'ct': 6}, {'t': 8211, 'ct': 4}, {'t': 8210, 'ct': 3}, {'t': 8209, 'ct': 2}, {'t': 8207, 'ct': 1}]"
股权激励,0.22,-65866.9056,696,002606,大连电瓷,大笔买入,"[{'t': 128, 'ct': 78}, {'t': 8201, 'ct': 78}, {'t': 64, 'ct': 71}, {'t': 8193, 'ct': 70}, {'t': 8218, 'ct': 46}, {'t': 8194, 'ct': 45}, {'t': 8202, 'ct': 42}, {'t': 8219, 'ct': 41}, {'t': 8203, 'ct': 31}, {'t': 4, 'ct': 23}, {'t': 8214, 'ct': 20}, {'t': 8220, 'ct': 20}, {'t': 8204, 'ct': 19}, {'t': 16, 'ct': 16}, {'t': 8215, 'ct': 15}, {'t': 8212, 'ct': 12}, {'t': 8213, 'ct': 10}, {'t': 8217, 'ct': 10}, {'t': 8216, 'ct': 9}, {'t': 8221, 'ct': 9}, {'t': 8211, 'ct': 6}, {'t': 8210, 'ct': 5}, {'t': 8222, 'ct': 5}, {'t': 8, 'ct': 4}, {'t': 8208, 'ct': 4}, {'t': 32, 'ct': 3}, {'t': 8207, 'ct': 2}, {'t': 8209, 'ct': 2}]"
风能,-1.54,-916846.9248,687,300444,双杰电气,大笔买入,"[{'t': 64, 'ct': 147}, {'t': 8193, 'ct': 86}, {'t': 8202, 'ct': 72}, {'t': 8194, 'ct': 61}, {'t': 128, 'ct': 57}, {'t': 8201, 'ct': 45}, {'t': 8203, 'ct': 39}, {'t': 8218, 'ct': 27}, {'t': 8220, 'ct': 20}, {'t': 8204, 'ct': 19}, {'t': 8219, 'ct': 17}, {'t': 8221, 'ct': 16}, {'t': 8216, 'ct': 10}, {'t': 8208, 'ct': 9}, {'t': 8, 'ct': 8}, {'t': 8210, 'ct': 8}, {'t': 32, 'ct': 7}, {'t': 8213, 'ct': 7}, {'t': 8214, 'ct': 7}, {'t': 8217, 'ct': 6}, {'t': 8222, 'ct': 6}, {'t': 8212, 'ct': 5}, {'t': 8215, 'ct': 5}, {'t': 4, 'ct': 2}, {'t': 8211, 'ct': 1}]"
智能电网,-1.47,-487484.6976,677,002606,大连电瓷,大笔买入,"[{'t': 64, 'ct': 101}, {'t': 8193, 'ct': 101}, {'t': 8194, 'ct': 58}, {'t': 8202, 'ct': 51}, {'t': 128, 'ct': 48}, {'t': 8201, 'ct': 32}, {'t': 8218, 'ct': 32}, {'t': 8204, 'ct': 31}, {'t': 8220, 'ct': 28}, {'t': 8, 'ct': 27}, {'t': 32, 'ct': 25}, {'t': 8203, 'ct': 25}, {'t': 8219, 'ct': 18}, {'t': 8214, 'ct': 17}, {'t': 8212, 'ct': 13}, {'t': 8216, 'ct': 12}, {'t': 8210, 'ct': 9}, {'t': 8221, 'ct': 8}, {'t': 4, 'ct': 7}, {'t': 16, 'ct': 7}, {'t': 8222, 'ct': 6}, {'t': 8208, 'ct': 5}, {'t': 8217, 'ct': 5}, {'t': 8213, 'ct': 4}, {'t': 8215, 'ct': 4}, {'t': 8211, 'ct': 2}, {'t': 8209, 'ct': 1}]"
智慧城市,-0.31,36482.1248,669,603236,移远通信,大笔卖出,"[{'t': 8193, 'ct': 77}, {'t': 8201, 'ct': 71}, {'t': 8218, 'ct': 58}, {'t': 64, 'ct': 55}, {'t': 8202, 'ct': 53}, {'t': 8203, 'ct': 46}, {'t': 128, 'ct': 42}, {'t': 8194, 'ct': 38}, {'t': 4, 'ct': 30}, {'t': 16, 'ct': 24}, {'t': 8, 'ct': 21}, {'t': 8204, 'ct': 20}, {'t': 32, 'ct': 18}, {'t': 8212, 'ct': 17}, {'t': 8214, 'ct': 17}, {'t': 8221, 'ct': 15}, {'t': 8219, 'ct': 12}, {'t': 8216, 'ct': 9}, {'t': 8222, 'ct': 9}, {'t': 8208, 'ct': 8}, {'t': 8220, 'ct': 7}, {'t': 8215, 'ct': 6}, {'t': 8213, 'ct': 5}, {'t': 8210, 'ct': 4}, {'t': 8217, 'ct': 4}, {'t': 8211, 'ct': 2}, {'t': 8207, 'ct': 1}]"
化学制品,0.41,327333.504,668,300721,怡达股份,大笔买入,"[{'t': 8193, 'ct': 104}, {'t': 8201, 'ct': 98}, {'t': 8194, 'ct': 69}, {'t': 8202, 'ct': 55}, {'t': 8219, 'ct': 43}, {'t': 8218, 'ct': 42}, {'t': 8203, 'ct': 34}, {'t': 128, 'ct': 30}, {'t': 64, 'ct': 25}, {'t': 8220, 'ct': 20}, {'t': 8221, 'ct': 18}, {'t': 8215, 'ct': 17}, {'t': 8, 'ct': 12}, {'t': 32, 'ct': 12}, {'t': 8204, 'ct': 11}, {'t': 8213, 'ct': 11}, {'t': 8214, 'ct': 11}, {'t': 8216, 'ct': 11}, {'t': 8222, 'ct': 10}, {'t': 8212, 'ct': 8}, {'t': 4, 'ct': 7}, {'t': 16, 'ct': 4}, {'t': 8209, 'ct': 4}, {'t': 8210, 'ct': 4}, {'t': 8217, 'ct': 4}, {'t': 8208, 'ct': 3}, {'t': 8211, 'ct': 1}]"
医疗器械概念,-0.36,-85037.3632,647,601636,旗滨集团,大笔卖出,"[{'t': 8193, 'ct': 91}, {'t': 64, 'ct': 73}, {'t': 8201, 'ct': 68}, {'t': 8218, 'ct': 65}, {'t': 8194, 'ct': 49}, {'t': 8202, 'ct': 44}, {'t': 8219, 'ct': 41}, {'t': 8203, 'ct': 35}, {'t': 128, 'ct': 32}, {'t': 8204, 'ct': 27}, {'t': 8214, 'ct': 24}, {'t': 8215, 'ct': 15}, {'t': 8221, 'ct': 14}, {'t': 8212, 'ct': 11}, {'t': 8220, 'ct': 11}, {'t': 8216, 'ct': 10}, {'t': 4, 'ct': 7}, {'t': 8213, 'ct': 7}, {'t': 8222, 'ct': 6}, {'t': 16, 'ct': 5}, {'t': 8210, 'ct': 3}, {'t': 8217, 'ct': 3}, {'t': 8208, 'ct': 2}, {'t': 8, 'ct': 1}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}, {'t': 8211, 'ct': 1}]"
通信,-1.74,-1821429.12,645,000889,中嘉博创,大笔买入,"[{'t': 64, 'ct': 98}, {'t': 8193, 'ct': 84}, {'t': 128, 'ct': 72}, {'t': 8194, 'ct': 52}, {'t': 8218, 'ct': 45}, {'t': 8201, 'ct': 43}, {'t': 8202, 'ct': 38}, {'t': 8204, 'ct': 36}, {'t': 8203, 'ct': 30}, {'t': 8220, 'ct': 21}, {'t': 8221, 'ct': 17}, {'t': 8, 'ct': 16}, {'t': 32, 'ct': 14}, {'t': 8212, 'ct': 12}, {'t': 8208, 'ct': 9}, {'t': 8213, 'ct': 9}, {'t': 4, 'ct': 8}, {'t': 8216, 'ct': 8}, {'t': 8214, 'ct': 7}, {'t': 8222, 'ct': 7}, {'t': 8210, 'ct': 6}, {'t': 16, 'ct': 5}, {'t': 8219, 'ct': 5}, {'t': 8215, 'ct': 2}, {'t': 8217, 'ct': 1}]"
汽车,-0.75,-380133.6064,637,301667,纳百川,大笔买入,"[{'t': 8193, 'ct': 101}, {'t': 8194, 'ct': 70}, {'t': 8218, 'ct': 65}, {'t': 8201, 'ct': 56}, {'t': 64, 'ct': 50}, {'t': 8202, 'ct': 39}, {'t': 8220, 'ct': 31}, {'t': 8204, 'ct': 30}, {'t': 8214, 'ct': 28}, {'t': 128, 'ct': 21}, {'t': 8203, 'ct': 20}, {'t': 8219, 'ct': 18}, {'t': 8212, 'ct': 16}, {'t': 8216, 'ct': 16}, {'t': 8, 'ct': 15}, {'t': 32, 'ct': 14}, {'t': 8215, 'ct': 9}, {'t': 8208, 'ct': 6}, {'t': 8221, 'ct': 6}, {'t': 4, 'ct': 5}, {'t': 8213, 'ct': 5}, {'t': 8217, 'ct': 5}, {'t': 8209, 'ct': 3}, {'t': 16, 'ct': 2}, {'t': 8210, 'ct': 2}, {'t': 8211, 'ct': 2}, {'t': 8222, 'ct': 2}]"
大盘股,-0.33,-2140865.7408,636,688347,华虹公司,大笔卖出,"[{'t': 64, 'ct': 184}, {'t': 128, 'ct': 159}, {'t': 8201, 'ct': 70}, {'t': 8218, 'ct': 42}, {'t': 8202, 'ct': 33}, {'t': 8203, 'ct': 24}, {'t': 8214, 'ct': 22}, {'t': 8204, 'ct': 16}, {'t': 8213, 'ct': 16}, {'t': 8193, 'ct': 14}, {'t': 8215, 'ct': 14}, {'t': 8219, 'ct': 8}, {'t': 8194, 'ct': 5}, {'t': 8208, 'ct': 5}, {'t': 8212, 'ct': 4}, {'t': 8216, 'ct': 4}, {'t': 8217, 'ct': 4}, {'t': 8221, 'ct': 4}, {'t': 8210, 'ct': 2}, {'t': 8222, 'ct': 2}, {'t': 4, 'ct': 1}, {'t': 16, 'ct': 1}, {'t': 8207, 'ct': 1}, {'t': 8211, 'ct': 1}]"
消费电子概念,-0.32,-281831.1936,632,920125,N鸿仕达,大笔买入,"[{'t': 8193, 'ct': 107}, {'t': 8194, 'ct': 80}, {'t': 64, 'ct': 73}, {'t': 128, 'ct': 72}, {'t': 8201, 'ct': 62}, {'t': 8203, 'ct': 47}, {'t': 8218, 'ct': 37}, {'t': 8202, 'ct': 33}, {'t': 8204, 'ct': 12}, {'t': 8213, 'ct': 12}, {'t': 8221, 'ct': 11}, {'t': 4, 'ct': 10}, {'t': 16, 'ct': 10}, {'t': 8208, 'ct': 10}, {'t': 8212, 'ct': 9}, {'t': 8215, 'ct': 8}, {'t': 8222, 'ct': 7}, {'t': 8214, 'ct': 5}, {'t': 8219, 'ct': 5}, {'t': 8209, 'ct': 4}, {'t': 8216, 'ct': 4}, {'t': 8220, 'ct': 4}, {'t': 8207, 'ct': 3}, {'t': 8217, 'ct': 3}, {'t': 8210, 'ct': 2}, {'t': 8, 'ct': 1}, {'t': 8211, 'ct': 1}]"
核能核电,-1.47,-700318.1056,630,002478,常宝股份,大笔买入,"[{'t': 64, 'ct': 93}, {'t': 8220, 'ct': 64}, {'t': 8194, 'ct': 58}, {'t': 8193, 'ct': 57}, {'t': 8, 'ct': 51}, {'t': 32, 'ct': 48}, {'t': 8202, 'ct': 39}, {'t': 8218, 'ct': 32}, {'t': 8201, 'ct': 31}, {'t': 128, 'ct': 30}, {'t': 8219, 'ct': 24}, {'t': 8203, 'ct': 21}, {'t': 8214, 'ct': 14}, {'t': 8204, 'ct': 13}, {'t': 8212, 'ct': 12}, {'t': 8216, 'ct': 10}, {'t': 8208, 'ct': 6}, {'t': 8210, 'ct': 5}, {'t': 8213, 'ct': 5}, {'t': 8222, 'ct': 5}, {'t': 8221, 'ct': 4}, {'t': 8207, 'ct': 2}, {'t': 8215, 'ct': 2}, {'t': 4, 'ct': 1}, {'t': 8209, 'ct': 1}, {'t': 8211, 'ct': 1}, {'t': 8217, 'ct': 1}]"
特斯拉,-0.36,-77196.2624,626,300890,翔丰华,大笔买入,"[{'t': 8193, 'ct': 100}, {'t': 64, 'ct': 88}, {'t': 128, 'ct': 82}, {'t': 8201, 'ct': 54}, {'t': 8194, 'ct': 49}, {'t': 8218, 'ct': 43}, {'t': 8219, 'ct': 39}, {'t': 8203, 'ct': 33}, {'t': 8202, 'ct': 22}, {'t': 8213, 'ct': 16}, {'t': 8204, 'ct': 15}, {'t': 8215, 'ct': 14}, {'t': 8214, 'ct': 10}, {'t': 8221, 'ct': 10}, {'t': 8212, 'ct': 9}, {'t': 8208, 'ct': 8}, {'t': 8216, 'ct': 7}, {'t': 8222, 'ct': 7}, {'t': 4, 'ct': 3}, {'t': 8209, 'ct': 3}, {'t': 8217, 'ct': 3}, {'t': 8220, 'ct': 3}, {'t': 8210, 'ct': 2}, {'t': 8211, 'ct': 2}, {'t': 8, 'ct': 1}, {'t': 16, 'ct': 1}, {'t': 32, 'ct': 1}, {'t': 8207, 'ct': 1}]"
阿里概念,-0.83,-217511.7824,618,002891,中宠股份,大笔买入,"[{'t': 64, 'ct': 103}, {'t': 128, 'ct': 64}, {'t': 8201, 'ct': 59}, {'t': 8218, 'ct': 56}, {'t': 8193, 'ct': 52}, {'t': 8202, 'ct': 43}, {'t': 8, 'ct': 31}, {'t': 32, 'ct': 30}, {'t': 8203, 'ct': 30}, {'t': 8204, 'ct': 25}, {'t': 8220, 'ct': 22}, {'t': 8194, 'ct': 17}, {'t': 8214, 'ct': 14}, {'t': 8219, 'ct': 12}, {'t': 8212, 'ct': 9}, {'t': 4, 'ct': 7}, {'t': 16, 'ct': 6}, {'t': 8213, 'ct': 6}, {'t': 8215, 'ct': 6}, {'t': 8221, 'ct': 6}, {'t': 8210, 'ct': 5}, {'t': 8216, 'ct': 5}, {'t': 8208, 'ct': 3}, {'t': 8222, 'ct': 3}, {'t': 8217, 'ct': 2}, {'t': 8207, 'ct': 1}, {'t': 8209, 'ct': 1}]"
昨日首板,1.3,-233360.5888,618,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 133}, {'t': 8194, 'ct': 91}, {'t': 8201, 'ct': 59}, {'t': 8219, 'ct': 40}, {'t': 128, 'ct': 35}, {'t': 8203, 'ct': 35}, {'t': 4, 'ct': 31}, {'t': 8202, 'ct': 31}, {'t': 64, 'ct': 30}, {'t': 16, 'ct': 25}, {'t': 8217, 'ct': 22}, {'t': 8220, 'ct': 19}, {'t': 8213, 'ct': 17}, {'t': 8221, 'ct': 12}, {'t': 8211, 'ct': 11}, {'t': 8204, 'ct': 10}, {'t': 8222, 'ct': 7}, {'t': 8215, 'ct': 4}, {'t': 8216, 'ct': 3}, {'t': 8, 'ct': 1}, {'t': 8212, 'ct': 1}, {'t': 8218, 'ct': 1}]"
