私募基金管理人名称,法定代表人/执行事务合伙人(委派代表)姓名,机构类型,登记编号,注册地,办公地,成立时间,登记时间,在管基金数量,会员类型,是否有提示信息,是否有诚信信息
上海君翼博星创业投资管理有限公司,郭芃,私募股权、创业投资基金管理人,P1000667,上海市,上海市,2010-08-02,2014-03-25,3,非会员机构,否,否
建信国贸（厦门）私募基金管理有限公司,陈睿,私募股权、创业投资基金管理人,P1000668,福建省,厦门市,2012-02-24,2014-03-25,22,观察会员,否,否
深圳市保腾创业投资有限公司,程国发,私募股权、创业投资基金管理人,P1000669,广东省,深圳市,2007-12-03,2014-03-25,1,观察会员,是,否
盛世神州私募基金管理（北京）股份有限公司,关海祥,私募股权、创业投资基金管理人,P1000670,北京市,北京市,2010-03-04,2014-03-25,5,观察会员,是,否
金泰产融（北京）创业投资基金管理有限公司,杨鹏,私募股权、创业投资基金管理人,P1000671,北京市,北京市,2013-03-12,2014-03-25,10,观察会员,否,否
北京和聚私募基金管理有限公司,于军,私募证券投资基金管理人,P1000273,北京市,北京市,2009-03-27,2014-04-01,27,普通会员,否,否
光大金控（上海）投资管理有限公司,韩宁,私募证券投资基金管理人,P1000295,上海市,北京市,2011-06-07,2014-04-01,7,普通会员,是,否
上海从容投资管理有限公司,吕俊,私募证券投资基金管理人,P1000297,上海市,上海市,2007-11-06,2014-04-01,14,普通会员,否,是
西藏长金投资管理有限公司,郑晓军,私募证券投资基金管理人,P1000324,西藏自治区,广东省,2007-11-22,2014-04-01,30,观察会员,是,否
暖流资产管理股份有限公司,黄柏乔,私募证券投资基金管理人,P1000363,天津市,北京市,2011-12-05,2014-04-01,25,普通会员,是,是
上海泓湖私募基金管理有限公司,梁文涛,私募证券投资基金管理人,P1000395,上海市,上海市,2010-03-04,2014-04-01,90,观察会员,否,否
上海申毅投资股份有限公司,申毅,私募证券投资基金管理人,P1000404,上海市,上海市,2004-06-23,2014-04-01,97,普通会员,否,否
深圳市上善御富资产管理有限公司,刘鹰,私募证券投资基金管理人,P1000415,广东省,深圳市,2010-11-22,2014-04-01,3,观察会员,否,否
高能天汇创业投资有限公司,徐平,私募股权、创业投资基金管理人,P1000497,北京市,北京市,2007-01-29,2014-04-01,3,观察会员,是,是
华夏未来资本管理有限公司,刘文动,私募证券投资基金管理人,P1000570,北京市,北京市,2013-06-06,2014-04-01,37,观察会员,是,否
上海同安投资管理有限公司,陈东升,私募证券投资基金管理人,P1000674,上海市,上海市,2013-01-18,2014-04-01,15,普通会员,是,是
