序号,基金代码,基金名称,当前-单位净值,当前-累计净值,前一日-单位净值,前一日-累计净值,增长值,增长率,赎回状态,申购状态,最新-交易日,最新-单位净值,最新-累计净值,基金类型,查询日期
80,159139,华泰柏瑞中证科创创业人工智能ETF,1.2162,1.2162,1.1959,1.1959,0.0203,1.7,开放,开放,2026-04-17,1.2162,1.2162,股票型,2026-04-17
81,159142,景顺长城中证科创创业人工智能ETF,1.1812,1.1812,1.1614,1.1614,0.0198,1.7,开放,开放,2026-04-17,1.1812,1.1812,股票型,2026-04-17
82,159141,科创创业人工智能ETF永赢,1.1649,1.1649,1.1455,1.1455,0.0194,1.69,开放,开放,2026-04-17,1.1649,1.1649,股票型,2026-04-17
83,588420,摩根中证科创创业人工智能ETF,1.1797,1.1797,1.1601,1.1601,0.0196,1.69,开放,开放,2026-04-17,1.1797,1.1797,股票型,2026-04-17
84,159295,西部利得创业板综合ETF,1.1527,1.1527,1.1336,1.1336,0.0191,1.68,开放,开放,2026-04-17,1.1527,1.1527,股票型,2026-04-17
85,588430,科创创业人工智能ETF工银,1.2,1.2,1.1803,1.1803,0.0197,1.67,开放,开放,2026-04-17,1.2,1.2,股票型,2026-04-17
86,159675,嘉实创业板增强策略ETF,1.515,1.515,1.4903,1.4903,0.0247,1.66,开放,开放,2026-04-17,1.515,1.515,股票型,2026-04-17
87,159738,华泰柏瑞中证沪港深云计算产业ETF,2.1146,2.1146,2.0808,2.0808,0.0338,1.62,开放,开放,2026-04-17,2.1146,2.1146,股票型,2026-04-17
88,517390,天弘中证沪港深云计算产业ETF,1.9979,1.9979,1.966,1.966,0.0319,1.62,开放,开放,2026-04-17,1.9979,1.9979,股票型,2026-04-17
89,159206,卫星ETF永赢,1.8058,1.8058,1.7773,1.7773,0.0285,1.6,开放,开放,2026-04-17,1.8058,1.8058,股票型,2026-04-17
90,159273,汇添富中证沪港深云计算产业ETF,1.4804,1.4804,1.4571,1.4571,0.0233,1.6,开放,开放,2026-04-17,1.4804,1.4804,股票型,2026-04-17
91,563050,易方达中证国新央企科技引领ETF,1.2202,1.2202,1.201,1.201,0.0192,1.6,开放,开放,2026-04-17,1.2202,1.2202,股票型,2026-04-17
92,560170,南方中证国新央企科技引领ETF,1.1471,1.1471,1.1296,1.1296,0.0175,1.55,开放,开放,2026-04-17,1.1471,1.1471,股票型,2026-04-17
93,562380,科技引领,1.1816,1.1816,1.1636,1.1636,0.018,1.55,开放,开放,2026-04-17,1.1816,1.1816,股票型,2026-04-17
94,515060,华夏中证全指房地产ETF,0.6712,0.6712,0.661,0.661,0.0102,1.54,开放,开放,2026-04-17,0.6712,0.6712,股票型,2026-04-17
95,159804,国寿安保创精选88ETF,1.641,1.641,1.6163,1.6163,0.0247,1.53,开放,开放,2026-04-17,1.641,1.641,股票型,2026-04-17
96,588500,易方达上证科创板100增强策略ETF,2.3343,2.3343,2.2993,2.2993,0.035,1.52,开放,开放,2026-04-17,2.3343,2.3343,股票型,2026-04-17
97,510770,申万菱信上证G60创新ETF,0.9208,0.9208,0.9071,0.9071,0.0137,1.51,开放,开放,2026-04-17,0.9208,0.9208,股票型,2026-04-17
98,512200,南方中证全指房地产ETF,1.4025,0.5022,1.3818,0.4948,0.0074,1.5,开放,开放,2026-04-17,1.4025,0.5022,股票型,2026-04-17
99,159956,建信创业板ETF,2.3283,2.3283,2.2946,2.2946,0.0337,1.47,开放,开放,2026-04-17,2.3283,2.3283,股票型,2026-04-17
100,159958,创业板ETF工银,2.2211,2.2211,2.189,2.189,0.0321,1.47,开放,开放,2026-04-17,2.2211,2.2211,股票型,2026-04-17
