统计时间,国外资产,外汇,货币黄金,其他国外资产,对政府债权,其中:中央政府,对其他存款性公司债权,对其他金融性公司债权,对非货币金融机构债权,对非金融性公司债权,其他资产,总资产,储备货币,发行货币,金融性公司存款,其他存款性公司,其他金融性公司,对金融机构负债,准备金存款,非金融性公司存款,活期存款,债券,国外负债,政府存款,自有资金,其他负债,总负债
2023.1,228513.62,216249.25,3169.49,9094.88,15240.68,15240.68,148166.96,1548.67,,,28594.78,422064.71,358910.69,122673.18,,209148.22,,,,,,950.0,1925.11,47736.54,219.75,7093.77,422064.71
2022.12,226906.56,214712.28,3106.57,9087.71,15240.68,15240.68,143132.29,1557.0,,,29947.25,416783.78,360956.03,110012.57,,227876.54,,,,,,950.0,1574.47,41272.91,219.75,6602.21,416783.78
2022.11,225813.47,213773.49,2985.1,9054.88,15240.68,15240.68,129030.57,1555.92,,,29886.98,401527.62,334805.67,104835.63,,208722.1,,,,,,950.0,1718.39,52363.28,219.75,6306.62,401527.62
2022.10,224736.66,213137.49,2855.63,8743.54,15240.68,15240.68,129059.88,1569.33,,,28264.71,398871.25,332953.5,103575.52,,208542.63,,,,,,950.0,1686.47,53509.52,219.75,4588.18,398871.25
2022.9,224439.67,213127.04,2855.63,8457.0,15240.68,15240.68,128810.82,1754.61,,,27156.48,397402.27,341831.63,104051.11,,216253.7,,,,,,950.0,1465.69,43738.05,219.75,3881.28,397402.27
2022.8,225575.68,213157.68,2855.63,9562.37,15240.68,15240.68,117690.14,1745.62,,,24390.16,384642.28,325624.09,102295.88,,202148.65,,,,,,950.0,1537.76,47047.66,219.75,2989.46,384642.28
2022.7,225614.78,213179.97,2855.63,9579.18,15240.68,15240.68,119635.4,1742.6,,,23394.0,385627.47,324197.28,101513.24,,202092.89,,,,,,950.0,1553.83,50123.39,219.75,2557.47,385627.47
2022.6,225365.84,213187.48,2855.63,9322.73,15240.68,15240.68,126805.26,1743.96,,,23398.86,392554.6,334251.89,101228.76,,212469.45,,,,,,950.0,1312.63,45748.0,219.75,3630.93,392554.6
2022.5,225477.56,213228.67,2855.63,9393.26,15240.68,15240.68,119480.95,1770.79,,,23349.79,385319.77,325085.37,100710.16,,204605.98,,,,,,950.0,1293.58,46413.92,219.75,4910.57,385319.77
2022.4,226267.6,213318.52,2855.63,10093.45,15240.68,15240.68,120160.2,4119.28,,,23548.27,389336.03,326823.44,100856.54,,206134.42,,,,,,950.0,1186.55,43329.6,219.75,9505.35,389336.03
2022.3,226202.31,213494.82,2855.63,9851.87,15240.68,15240.68,129348.52,4118.03,,,23816.35,398725.89,335458.34,100737.77,,215231.7,,,,,,950.0,1188.03,42002.79,219.75,11816.88,398725.89
2022.2,225836.31,213262.43,2855.63,9718.25,15240.68,15240.68,137638.35,4114.28,,,23399.38,406229.0,328648.67,104182.46,,204313.02,,,,,,950.0,1633.74,54659.49,219.75,13199.15,406229.0
2022.1,225696.18,213200.55,2855.63,9640.0,15240.68,15240.68,134700.09,4112.28,,,23376.0,403125.23,331197.31,111876.69,,194279.92,,,,,,950.0,1036.28,49781.39,219.75,13899.89,403125.23
2021.12,225102.82,212867.2,2855.63,9380.0,15240.68,15240.68,128645.47,4125.22,,,22588.05,395702.25,329487.34,96164.8,,212392.89,,,,,,950.0,998.21,42931.68,219.75,15061.88,395702.25
