代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
123122,富瀚转债,127.611,300613,富瀚微,5.812,5.802,2022-02-14,,2027-08-06,91.69,130,119.197,44.66,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的%(含 130%),
123157,科蓝转债,141.178,300663,科蓝软件,4.946,2.34,2023-03-06,,2028-08-30,16.01,130,20.813,13.33,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123154,火星转债,126.001,300894,火星人,5.29,5.289,2023-02-13,,2028-08-05,33.03,130,42.939,9.96,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123165,回天转债,131.503,300041,回天新材,8.5,8.497,2023-05-04,,2028-10-27,15.2,130,19.76,11.29,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123168,惠云转债,133.143,300891,惠云钛业,4.9,4.899,2023-05-29,,2028-11-23,10.74,130,13.962,8.51,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123171,共同转债,132.022,300966,共同药业,3.8,3.799,2023-06-02,,2028-11-28,27.12,130,35.256,21.87,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123151,康医转债,123.028,300869,康泰医学,7.0,6.998,2023-01-09,,2028-07-01,27.55,130,35.815,13.14,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123150,九强转债,133.024,300406,九强生物,11.39,11.21,2023-01-06,,2028-06-30,16.48,130,21.424,12.02,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123198,金埔转债,140.261,301098,金埔园林,5.2,3.259,2023-12-14,,2029-06-08,7.55,130,9.815,8.65,,0/15 | 30,如果公司股票在连续 30 个交易日中至少15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123124,晶瑞转2,143.654,300655,晶瑞电材,5.23,5.225,2022-02-21,,2027-08-16,16.69,130,21.697,15.6,,0/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%(含 130%),
