债券代码,债券简称,申购日期,申购代码,原股东配售码,每股获配额,计划发行量,实际发行量,中签公布日,中签号,上市日期,正股代码,正股简称,转股价格,到期时间,中签率
123258,胜蓝转02,2025-08-28,370843,380843,2.7488,4.5,4.5,2025-09-01,"423275、048275、173275、298275、548275、673275、798275、923275；
9749714；
94455653、14455653、34455653、54455653、74455653、17345272；
630668965、030668965、230668965、430668965、830668965、980396623、480396623；
2497323180、1436226063、4505345063、0858177116、5429829197",2025-09-10,300843,胜蓝股份,54.46,2031-08-28,0.00081674
127111,金威转债,2025-08-20,072626,082626,2.1189,12.923948,12.923948,2025-08-22,"44702、94702；
084289、334289、584289、834289；
0950897、3450897、5950897、8450897；
21519299、09019299、34019299、46519299、59019299、71519299、84019299、96519299；
175014833、050014833、300014833、425014833、550014833、675014833、800014833、925014833；
0604229872",2025-09-08,002626,金达威,19.59,2031-08-20,0.00244881
113698,凯众转债,2025-08-15,754037,753037,1.15,3.08447,3.08447,2025-08-19,"638950、763950、888950、513950、388950、263950、138950、013950；
1821857、3821857、5821857、7821857、9821857、6115714、1115714；
18076518、38076518、58076518、78076518、98076518、43015091、93015091；
662401523；
8013103553、4686503377、5926037882、2463156335",2025-09-10,603037,凯众股份,12.74,2031-08-15,0.00087715
118058,微导转债,2025-08-06,718147,726147,2.557,11.7,11.7,2025-08-08,"06156；
078437、328437、578437、828437；
9050942、7800942、6550942、5300942、4050942、2800942、1550942、0300942、8470159；
93048622、73048622、53048622、33048622、13048622；
718989916、218989916、166011562",2025-08-27,688147,微导纳米,33.57,2031-08-06,0.00149530
127110,广核转债,2025-07-09,073816,083816,0.1245,49.0,49.0,2025-07-11,"6087；
57987、07987、20487、32987、45487、70487、82987、95487；
595120、195120、395120、795120、995120、472296；
5772299、0772299、3272299、8272299；
28601760、78601760；
762239230、262239230；
2057490057",2025-07-25,003816,中国广核,3.67,2031-07-09,0.01864220
111023,利柏转债,2025-07-03,713167,715167,1.689,7.5,7.5,2025-07-07,"53998；
683273、883273、483273、283273、083273、399760、899760；
9605793、4605793、2013918；
35706377、60706377、85706377、10706377；
250732373、450732373、650732373、850732373、050732373、426046050、926046050；
1904001711、4531502457、6022459284、2392319135、7284121937、1983256906",2025-07-22,605167,利柏特,12.14,2031-07-03,0.00173477
113696,伯25转债,2025-07-01,754596,753596,4.633,28.02,28.02,2025-07-03,"27053、39553、52053、64553、77053、89553、14553、02053；
436452、561452、686452、811452、936452、311452、186452、061452、715919；
3668750、6168750、8668750、1168750；
61158878、73658878、86158878、98658878、48658878、36158878、23658878、11158878、12391437；
354527982、479527982、604527982、729527982、854527982、979527982、229527982、104527982、306048246；
5955293099、0430962918、0872101292、7889381475、1210522207",2025-07-28,603596,伯特利,52.42,2031-07-01,0.00894996
118057,甬矽转债,2025-06-26,718362,726362,2.879,11.65,11.65,2025-06-30,"37179、62179、87179、12179；
945168、445168；
0216675；
93276632、43276632；
954978058、829978058、704978058、579978058、454978058、329978058、204978058、079978058、468884809；
1736394916、6791168143、3714521810、2091680292、4350092516、6762157657、6726136209、2886664612",2025-07-16,688362,甬矽电子,28.36,2031-06-26,0.00421300
113695,华辰转债,2025-06-20,754097,753097,2.797,4.6,4.6,2025-06-24,"555260、055260、820044；
2134352、4634352、7134352、9634352；
49587328、62087328、74587328、87087328、99587328、37087328、24587328、12087328、11314534；
402930366、902930366",2025-07-10,603097,江苏华辰,23.48,2031-06-20,0.00034920
111022,锡振转债,2025-06-18,713319,715319,2.079,5.2,5.2,2025-06-20,"290297、415297、540297、665297、790297、915297、165297、040297、945993；
6697023；
35542359、85542359；
779278095、904278095、654278095、529278095、404278095、279278095、154278095、029278095；
6391273819、0492937043、1233171145、4390211047、3471175906",2025-07-14,605319,无锡振华,22.64,2031-06-18,0.00091285
