序号,基金代码,基金名称,当前-单位净值,当前-累计净值,前一日-单位净值,前一日-累计净值,增长值,增长率,赎回状态,申购状态,最新-交易日,最新-单位净值,最新-累计净值,基金类型,查询日期
66,025455,国投瑞银北证50成份指数发起式A,0.9922,0.9922,0.9495,0.9495,0.0427,4.5,开放,开放,2026-04-17,0.9922,0.9922,股票型,2026-04-17
67,025456,国投瑞银北证50成份指数发起式C,0.9912,0.9912,0.9485,0.9485,0.0427,4.5,开放,开放,2026-04-17,0.9912,0.9912,股票型,2026-04-17
68,008326,东财通信A,3.9258,3.9258,3.7572,3.7572,0.1686,4.49,开放,开放,2026-04-17,3.9258,3.9258,股票型,2026-04-17
69,008327,东财通信C,3.8649,3.8649,3.6989,3.6989,0.166,4.49,开放,开放,2026-04-17,3.8649,3.8649,股票型,2026-04-17
70,024161,大成北证50成份指数发起式A,0.9626,0.9626,0.9212,0.9212,0.0414,4.49,开放,开放,2026-04-17,0.9626,0.9626,股票型,2026-04-17
71,025444,景顺长城北证50成份指数C,0.9819,0.9819,0.9397,0.9397,0.0422,4.49,开放,开放,2026-04-17,0.9819,0.9819,股票型,2026-04-17
72,021687,鹏华北证50成份指数发起式A,1.1364,1.1364,1.0877,1.0877,0.0487,4.48,开放,限制大额,2026-04-17,1.1364,1.1364,股票型,2026-04-17
73,021690,招商资管北证50成份指数发起A,1.0831,1.0831,1.0367,1.0367,0.0464,4.48,开放,限制大额,2026-04-17,1.0831,1.0831,股票型,2026-04-17
74,025443,景顺长城北证50成份指数A,0.9826,0.9826,0.9405,0.9405,0.0421,4.48,开放,开放,2026-04-17,0.9826,0.9826,股票型,2026-04-17
75,017517,招商北证50成份指数发起式A,1.4783,1.4783,1.415,1.415,0.0633,4.47,开放,限制大额,2026-04-17,1.4783,1.4783,股票型,2026-04-17
76,017518,招商北证50成份指数发起式C,1.4636,1.4636,1.401,1.401,0.0626,4.47,开放,限制大额,2026-04-17,1.4636,1.4636,股票型,2026-04-17
77,021688,鹏华北证50成份指数发起式C,1.1325,1.1325,1.084,1.084,0.0485,4.47,开放,限制大额,2026-04-17,1.1325,1.1325,股票型,2026-04-17
78,021691,招商资管北证50成份指数发起C,1.0783,1.0783,1.0322,1.0322,0.0461,4.47,开放,限制大额,2026-04-17,1.0783,1.0783,股票型,2026-04-17
79,023886,永赢北证50成份指数发起A,1.0355,1.0355,0.9912,0.9912,0.0443,4.47,开放,开放,2026-04-17,1.0355,1.0355,股票型,2026-04-17
80,023887,永赢北证50成份指数发起C,1.0324,1.0324,0.9882,0.9882,0.0442,4.47,开放,开放,2026-04-17,1.0324,1.0324,股票型,2026-04-17
81,024244,鹏华北证50成份指数发起式I,0.9598,0.9598,0.9187,0.9187,0.0411,4.47,开放,限制大额,2026-04-17,0.9598,0.9598,股票型,2026-04-17
82,007817,国泰中证全指通信设备ETF联接A,3.7001,3.7001,3.5425,3.5425,0.1576,4.45,开放,开放,2026-04-17,3.7001,3.7001,股票型,2026-04-17
83,007818,国泰中证全指通信设备ETF联接C,3.6239,3.6239,3.4696,3.4696,0.1543,4.45,开放,开放,2026-04-17,3.6239,3.6239,股票型,2026-04-17
84,022500,国泰中证全指通信设备ETF联接E,3.6848,3.6848,3.5279,3.5279,0.1569,4.45,开放,开放,2026-04-17,3.6848,3.6848,股票型,2026-04-17
85,023441,前海开源北证50成份指数发起A,1.0869,1.0869,1.0406,1.0406,0.0463,4.45,开放,开放,2026-04-17,1.0869,1.0869,股票型,2026-04-17
86,023442,前海开源北证50成份指数发起C,1.0833,1.0833,1.0371,1.0371,0.0462,4.45,开放,开放,2026-04-17,1.0833,1.0833,股票型,2026-04-17
87,023659,华泰柏瑞北证50成份指数A,0.997,0.997,0.9546,0.9546,0.0424,4.44,开放,限制大额,2026-04-17,0.997,0.997,股票型,2026-04-17
88,023660,华泰柏瑞北证50成份指数C,0.994,0.994,0.9517,0.9517,0.0423,4.44,开放,限制大额,2026-04-17,0.994,0.994,股票型,2026-04-17
89,023661,华泰柏瑞北证50成份指数I,0.996,0.996,0.9537,0.9537,0.0423,4.44,开放,限制大额,2026-04-17,0.996,0.996,股票型,2026-04-17
90,159583,富国中证通信设备主题ETF,1.6695,3.339,1.5985,3.197,0.142,4.44,开放,开放,2026-04-17,1.6695,3.339,股票型,2026-04-17
91,024743,浦银安盛北证50成份指数A,0.9724,0.9724,0.9317,0.9317,0.0407,4.37,开放,开放,2026-04-17,0.9724,0.9724,股票型,2026-04-17
92,024744,浦银安盛北证50成份指数C,0.9704,0.9704,0.9298,0.9298,0.0406,4.37,开放,开放,2026-04-17,0.9704,0.9704,股票型,2026-04-17
93,023395,宝盈北证50成份指数发起式A,1.041,1.041,0.9975,0.9975,0.0435,4.36,开放,开放,2026-04-17,1.041,1.041,股票型,2026-04-17
94,023396,宝盈北证50成份指数发起式C,1.0374,1.0374,0.9941,0.9941,0.0433,4.36,开放,开放,2026-04-17,1.0374,1.0374,股票型,2026-04-17
95,025383,中加北证50成份指数增强A,0.9828,0.9828,0.9418,0.9418,0.041,4.35,开放,开放,2026-04-17,0.9828,0.9828,股票型,2026-04-17
96,025384,中加北证50成份指数增强C,0.9816,0.9816,0.9407,0.9407,0.0409,4.35,开放,开放,2026-04-17,0.9816,0.9816,股票型,2026-04-17
97,025690,弘毅远方北证50成份指数A,0.9769,0.9769,0.9363,0.9363,0.0406,4.34,开放,开放,2026-04-17,0.9769,0.9769,股票型,2026-04-17
98,026513,弘毅远方北证50成份指数I,0.9767,0.9767,0.9361,0.9361,0.0406,4.34,开放,开放,2026-04-17,0.9767,0.9767,股票型,2026-04-17
99,019993,创金合信北证50成份指数增强A,1.5223,1.5223,1.4591,1.4591,0.0632,4.33,开放,限制大额,2026-04-17,1.5223,1.5223,股票型,2026-04-17
100,019994,创金合信北证50成份指数增强C,1.5119,1.5119,1.4491,1.4491,0.0628,4.33,开放,限制大额,2026-04-17,1.5119,1.5119,股票型,2026-04-17
