报告期,报表核心指标,*净利润,*营业总收入,*营业支出,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,利息净收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,投资收益,其中：对联营企业和合营企业的投资收益,公允价值变动收益,汇兑收益,其他业务收入,二、营业支出,营业税金及附加,业务及管理费,资产减值损失,信用减值损失,三、营业利润,加：营业外收入,减：营业外支出,四、利润总额,减：所得税费用,五、净利润,归属母公司所有者的净利润,少数股东损益,扣除非经常性损益后的利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2018-06-30,,133.72亿,572.41亿,398.39亿,133.72亿,133.26亿,,572.41亿,572.41亿,374.36亿,820.08亿,445.72亿,179.39亿,210.61亿,31.22亿,11.87亿,False,5.45亿,-6000.00万,1.09亿,398.39亿,5.61亿,169.80亿,6200.00万,222.36亿,174.02亿,600.00万,4100.00万,173.67亿,39.95亿,133.72亿,133.72亿,False,133.26亿,,0.73,0.73,4.57亿,4.57亿,138.29亿,False,False
2018-03-31,,65.95亿,280.26亿,194.42亿,65.95亿,65.55亿,,280.26亿,280.26亿,186.87亿,409.44亿,222.57亿,85.94亿,99.47亿,13.53亿,4.16亿,False,3.73亿,-1.78亿,7600.00万,194.42亿,2.61亿,85.10亿,700.00万,106.64亿,85.84亿,500.00万,2200.00万,85.67亿,19.72亿,65.95亿,65.95亿,False,65.55亿,,0.33,0.33,1.51亿,1.51亿,67.46亿,False,False
2017-12-31,,231.89亿,1057.86亿,755.63亿,231.89亿,231.62亿,,1057.86亿,1057.86亿,740.09亿,1480.68亿,740.59亿,306.74亿,357.25亿,50.51亿,6.32亿,False,-6100.00万,1.66亿,1.86亿,755.63亿,10.22亿,316.16亿,429.25亿,False,302.23亿,3800.00万,1.04亿,301.57亿,69.68亿,231.89亿,231.89亿,False,231.62亿,,1.30,1.30,2.81亿,2.81亿,234.70亿,False,False
2017-09-30,,191.53亿,798.32亿,548.33亿,191.53亿,191.30亿,,798.32亿,798.32亿,554.82亿,1088.75亿,533.93亿,231.61亿,266.46亿,34.85亿,6.44亿,False,3400.00万,2.80亿,1.30亿,548.33亿,7.45亿,212.68亿,328.20亿,False,249.99亿,1800.00万,7800.00万,249.39亿,57.86亿,191.53亿,191.53亿,False,191.30亿,,1.06,1.06,3.74亿,3.74亿,195.27亿,False,False
2017-06-30,,125.54亿,540.69亿,376.05亿,125.54亿,125.12亿,,540.69亿,540.69亿,373.61亿,716.48亿,342.87亿,157.48亿,178.69亿,21.21亿,7.39亿,False,1700.00万,5200.00万,9500.00万,376.05亿,5.03亿,133.86亿,237.16亿,False,164.64亿,1200.00万,4400.00万,164.32亿,38.78亿,125.54亿,125.54亿,False,125.12亿,,0.68,0.68,3.16亿,3.16亿,128.70亿,False,False
2017-03-31,,62.14亿,277.26亿,194.84亿,62.14亿,62.12亿,,277.26亿,277.26亿,188.69亿,350.45亿,161.76亿,81.50亿,91.25亿,9.75亿,6.11亿,False,-2500.00万,4500.00万,6200.00万,194.84亿,2.46亿,68.04亿,124.34亿,False,82.42亿,100.00万,1300.00万,82.30亿,20.16亿,62.14亿,62.14亿,False,62.12亿,,0.31,0.31,2.28亿,2.28亿,64.42亿,False,False
2016-12-31,,225.99亿,1077.15亿,779.36亿,225.99亿,226.06亿,,1077.15亿,1077.15亿,764.11亿,1311.19亿,547.08亿,278.59亿,313.09亿,34.50亿,23.68亿,-1.41亿,4900.00万,8.82亿,1.46亿,779.36亿,34.45亿,279.73亿,465.18亿,False,297.79亿,2.21亿,6500.00万,299.35亿,73.36亿,225.99亿,225.99亿,False,226.06亿,,1.32,1.32,3.08亿,3.08亿,229.07亿,False,False
2016-09-30,,187.19亿,819.68亿,574.23亿,187.19亿,187.07亿,,819.68亿,819.68亿,567.92亿,980.03亿,412.11亿,219.45亿,242.61亿,23.16亿,24.66亿,False,1.10亿,5.68亿,8700.00万,574.23亿,31.00亿,227.08亿,316.15亿,False,245.45亿,5200.00万,3700.00万,245.60亿,58.41亿,187.19亿,187.19亿,False,187.07亿,,1.09,1.09,2.45亿,2.45亿,189.64亿,False,False
2016-06-30,,122.92亿,547.69亿,386.13亿,122.92亿,122.94亿,,547.69亿,547.69亿,375.95亿,650.84亿,274.89亿,150.49亿,165.83亿,15.34亿,16.08亿,2500.00万,1.60亿,2.83亿,7400.00万,386.13亿,28.39亿,157.74亿,200.00亿,False,161.56亿,2900.00万,3100.00万,161.54亿,38.62亿,122.92亿,122.92亿,False,122.94亿,,0.72,0.72,1.44亿,1.44亿,124.36亿,False,False
2016-03-31,,60.86亿,275.32亿,195.18亿,60.86亿,60.75亿,,275.32亿,275.32亿,190.79亿,330.77亿,139.98亿,74.20亿,81.78亿,7.58亿,8.24亿,False,-1400.00万,1.52亿,7100.00万,195.18亿,18.88亿,80.80亿,95.50亿,False,80.14亿,1800.00万,300.00万,80.29亿,19.43亿,60.86亿,60.86亿,False,60.75亿,,0.35,0.35,3000.00万,3000.00万,61.16亿,False,False
2015-12-31,,218.65亿,961.63亿,672.68亿,218.65亿,219.02亿,,961.63亿,961.63亿,684.61亿,1341.53亿,656.92亿,240.83亿,266.81亿,25.98亿,39.24亿,4600.00万,1.07亿,-5.73亿,1.61亿,672.68亿,66.71亿,301.12亿,304.85亿,False,288.95亿,4000.00万,8900.00万,288.46亿,69.81亿,218.65亿,218.65亿,False,219.02亿,,1.30,1.30,7.34亿,7.34亿,225.99亿,False,False
2015-09-30,,177.40亿,711.52亿,478.47亿,177.40亿,177.54亿,,711.52亿,711.52亿,482.06亿,992.25亿,510.19亿,202.23亿,221.44亿,19.21亿,30.81亿,False,9700.00万,-5.71亿,1.16亿,478.47亿,50.46亿,228.66亿,199.35亿,False,233.05亿,2100.00万,4000.00万,232.86亿,55.46亿,177.40亿,177.40亿,False,177.54亿,,1.06,1.06,4.95亿,4.95亿,182.35亿,False,False
2015-06-30,,115.85亿,465.75亿,313.08亿,115.85亿,115.91亿,,465.75亿,465.75亿,311.18亿,658.64亿,347.46亿,137.22亿,149.61亿,12.39亿,21.04亿,3500.00万,8500.00万,-5.15亿,6100.00万,313.08亿,33.80亿,150.05亿,129.23亿,False,152.67亿,1300.00万,2100.00万,152.59亿,36.74亿,115.85亿,115.85亿,False,115.91亿,,0.70,0.70,3.94亿,3.94亿,119.79亿,False,False
2015-03-31,,56.29亿,206.71亿,132.24亿,56.29亿,56.37亿,,206.71亿,206.71亿,151.44亿,324.64亿,173.20亿,53.87亿,59.67亿,5.80亿,4.64亿,False,-5800.00万,-2.98亿,3200.00万,132.24亿,15.72亿,69.01亿,47.51亿,False,74.47亿,200.00万,1200.00万,74.37亿,18.08亿,56.29亿,56.29亿,False,56.37亿,,0.41,0.41,1.26亿,1.26亿,57.55亿,False,False
