月份,货币和准货币(M2)-数量(亿元),货币和准货币(M2)-同比增长,货币和准货币(M2)-环比增长,货币(M1)-数量(亿元),货币(M1)-同比增长,货币(M1)-环比增长,流通中的现金(M0)-数量(亿元),流通中的现金(M0)-同比增长,流通中的现金(M0)-环比增长
2018年12月份,1826744.21571345,8.1,0.74836405,551685.90754868,1.5,1.50639683,73208.40337957,3.6,3.74854769
2018年11月份,1813175.06539151,8.0,0.9809449,543498.66093155,1.5,0.62398046,70563.30426885,2.8,0.65141265
2018年10月份,1795561.59556379,8.0,-0.33879683,540128.36546464,2.7,0.28859224,70106.62087234,2.8,-1.61062677
2018年09月份,1801665.58145761,8.3,0.72652578,538574.08246877,4.0,0.046336,71254.26107543,2.2,2.11946931
2018年08月份,1788670.42970175,8.2,0.70230559,538324.64434997,3.9,0.31686051,69775.39303606,3.3,0.35207995
2018年07月份,1776196.10516409,8.5,0.33995061,536624.29388092,5.1,-1.34580193,69530.58976978,3.6,-0.08441476
2018年06月份,1770178.373,8.0,1.55557019,543944.71230776,6.6,3.35716862,69589.3334355,3.9,-0.26581881
2018年05月份,1743063.7923233,8.3,0.30961117,526276.71554375,6.0,0.15775977,69774.80799697,3.6,-2.38071148
2018年04月份,1737683.72947489,8.3,-0.1250531,525447.77033558,7.2,0.36438391,71476.45619813,4.5,-1.67303411
2018年03月份,1739859.47770953,8.2,0.62399781,523540.0745583,7.1,1.25795531,72692.6286707,6.0,-10.72360562
2018年02月份,1729070.11807809,8.8,0.47975283,517035.99284148,8.5,-4.82490042,81424.24340892,13.5,9.09470891
2018年01月份,1720814.46207142,8.6,1.8091651,543247.12570164,15.0,-0.09985828,74636.29008648,-13.8,5.64888809
2017年12月份,1690235.31468079,8.0654,0.65977636,543790.14519118,11.8,1.53577902,70645.59924243,3.4,2.94717122
