代码,名称,送转股份-送转总比例,送转股份-送转比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
300741,华宝股份,,,,4.0,0.022271714922,0.62,11.6703843476,7.320138648763,2.81100946613,-47.720474697013,615880000,2024-03-27,2024-04-25,2024-04-26,实施分配,2024-04-22
300121,阳谷华泰,,,,2.5,0.03008423586,0.75,7.455401006047,2.575386880993,3.431663727671,-40.956455880184,408989577,2024-03-20,2024-04-26,2024-04-29,实施分配,2024-04-22
688389,普门科技,,,,2.81,0.014582252206,0.77,4.19725840491,1.432352121541,1.59287768571,30.656973130297,428114047,2024-03-22,2024-04-30,2024-05-06,实施分配,2024-04-23
300904,威力传动,,,,5.6,0.011806873287,0.68,11.634464964068,8.275392621457,2.020948612657,-39.637954465143,72383232,2024-03-29,2024-04-29,2024-04-30,实施分配,2024-04-23
301558,三态股份,,,,1.4,0.014242115972,0.1767,1.787997582746,-0.001312400323,0.773627061905,-12.122200257863,788851223,2024-03-29,2024-04-26,2024-04-29,实施分配,2024-04-23
301004,嘉益股份,,,,20.0,0.025889967638,4.71,12.560436643846,3.137000420481,8.076005911058,73.601388849604,104000000,2024-03-30,2024-04-29,2024-04-30,实施分配,2024-04-23
300416,苏试试验,,,,1.5,0.01048951049,0.618,4.971548109225,1.850907676986,2.134365675486,16.436794213306,508547806,2024-03-29,2024-04-29,2024-04-30,实施分配,2024-04-23
002709,天赐材料,,,,3.0,0.014381591563,0.99,6.835421408388,0.945064986146,4.608781708506,-66.91500887634,1924156986,2024-03-26,2024-04-26,2024-04-29,实施分配,2024-04-23
300750,宁德时代,,,,20.11,0.009593092592,11.79,44.943441857285,19.98326648998,23.46980198776,43.581026213096,4399041236,2024-03-16,2024-04-29,2024-04-30,实施分配,2024-04-23
300801,泰和科技,,,,1.67,0.011376021798,0.6686,10.856565500252,4.717856098521,5.117552383738,-64.327681731567,218430000,2024-03-30,2024-04-29,2024-04-30,实施分配,2024-04-23
300532,今天国际,,,,3.0,0.02004008016,1.26,5.304190427355,1.572050401968,2.408755513938,50.512116440599,310231301,2024-03-26,2024-04-29,2024-04-30,实施分配,2024-04-23
