交易所,合约代码,合约名称,品种代码,品种名称,合约乘数,最小跳动,开仓费率,开仓费用/手,平仓费率,平仓费用/手,平今费率,平今费用/手,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,上日结算价,上日收盘价,最新价,成交量,持仓量,1手开仓费用,1手平仓费用,1手平今费用,做多1手保证金,做空1手保证金,1手市值,1Tick平仓盈亏,1Tick平仓净利,2Tick平仓净利,1Tick平仓收益率%,2Tick平仓收益率%,1Tick平今净利,2Tick平今净利,1Tick平今收益率%,2Tick平今收益率%,更新时间
CZCE,CY606,CY606,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22135.0,22135.0,22135.0,0,0,1.1,1.1,0.09,16601.25,16601.25,110675.0,25.0,22.8,47.8,0.137,0.288,23.81,48.81,0.143,0.294,2026-04-24 15:58:58
CZCE,CY607,CY607,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22485.0,22450.0,22330.0,10882,15102,1.1,1.1,0.09,16747.5,16747.5,111650.0,25.0,22.8,47.8,0.136,0.285,23.81,48.81,0.142,0.291,2026-04-24 15:58:58
CZCE,CY608,CY608,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22265.0,22425.0,22425.0,0,0,1.1,1.1,0.09,16818.75,16818.75,112125.0,25.0,22.8,47.8,0.136,0.284,23.81,48.81,0.142,0.29,2026-04-24 15:58:58
CZCE,CY609,CY609,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22470.0,22435.0,22320.0,531,272,1.1,1.1,0.09,16740.0,16740.0,111600.0,25.0,22.8,47.8,0.136,0.286,23.81,48.81,0.142,0.292,2026-04-24 15:58:58
CZCE,CY610,CY610,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22100.0,22100.0,22100.0,0,0,1.1,1.1,0.09,16575.0,16575.0,110500.0,25.0,22.8,47.8,0.138,0.288,23.81,48.81,0.144,0.294,2026-04-24 15:58:58
CZCE,CY611,CY611,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22400.0,22400.0,22400.0,0,0,1.1,1.1,0.09,16800.0,16800.0,112000.0,25.0,22.8,47.8,0.136,0.285,23.81,48.81,0.142,0.291,2026-04-24 15:58:58
CZCE,CY612,CY612,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,21945.0,21945.0,21945.0,0,0,1.1,1.1,0.09,16458.75,16458.75,109725.0,25.0,22.8,47.8,0.139,0.29,23.81,48.81,0.145,0.297,2026-04-24 15:58:58
CZCE,CY701,CY701,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22875.0,22875.0,22875.0,0,4,1.1,1.1,0.09,17156.25,17156.25,114375.0,25.0,22.8,47.8,0.133,0.279,23.81,48.81,0.139,0.284,2026-04-24 15:58:58
CZCE,CY702,CY702,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22000.0,22000.0,22000.0,0,0,1.1,1.1,0.09,16500.0,16500.0,110000.0,25.0,22.8,47.8,0.138,0.29,23.81,48.81,0.144,0.296,2026-04-24 15:58:58
CZCE,CY703,CY703,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,23035.0,22985.0,22985.0,0,8,1.1,1.1,0.09,17238.75,17238.75,114925.0,25.0,22.8,47.8,0.132,0.277,23.81,48.81,0.138,0.283,2026-04-24 15:58:58
CZCE,CY704,CY704,CY,棉纱,5,5.0,1e-06,1.01,1e-06,1.01,1e-06,0.0,0.15,0,0.15,0,22305.0,22305.0,22305.0,0,0,1.1,1.1,0.09,16728.75,16728.75,111525.0,25.0,22.8,47.8,0.136,0.286,23.81,48.81,0.142,0.292,2026-04-24 15:58:58
CZCE,FG605,FG605,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.13,0,0.13,0,958.0,949.0,941.0,106411,293740,6.03,6.03,6.03,2446.6,2446.6,18820.0,20.0,7.95,27.95,0.325,1.142,7.95,27.95,0.325,1.142,2026-04-24 15:58:58
CZCE,FG606,FG606,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1033.0,1025.0,1016.0,37677,44763,6.03,6.03,6.03,2032.0,2032.0,20320.0,20.0,7.95,27.95,0.391,1.375,7.95,27.95,0.391,1.375,2026-04-24 15:58:58
CZCE,FG607,FG607,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1024.0,1018.0,1012.0,62437,116546,6.03,6.03,6.03,2024.0,2024.0,20240.0,20.0,7.95,27.95,0.393,1.381,7.95,27.95,0.393,1.381,2026-04-24 15:58:58
CZCE,FG608,FG608,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1103.0,1095.0,1090.0,38233,35094,6.03,6.03,6.03,2180.0,2180.0,21800.0,20.0,7.95,27.95,0.364,1.282,7.95,27.95,0.364,1.282,2026-04-24 15:58:58
CZCE,FG609,FG609,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1094.0,1084.0,1079.0,596713,1254984,6.03,6.03,6.03,2158.0,2158.0,21580.0,20.0,7.95,27.95,0.368,1.295,7.95,27.95,0.368,1.295,2026-04-24 15:58:58
CZCE,FG610,FG610,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1143.0,1134.0,1128.0,310,2797,6.03,6.03,6.03,2256.0,2256.0,22560.0,20.0,7.94,27.94,0.352,1.239,7.94,27.94,0.352,1.239,2026-04-24 15:58:58
CZCE,FG611,FG611,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1131.0,1120.0,1117.0,403,6155,6.03,6.03,6.03,2234.0,2234.0,22340.0,20.0,7.94,27.94,0.356,1.251,7.94,27.94,0.356,1.251,2026-04-24 15:58:58
CZCE,FG612,FG612,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1186.0,1177.0,1173.0,117,4309,6.03,6.03,6.03,2346.0,2346.0,23460.0,20.0,7.94,27.94,0.339,1.191,7.94,27.94,0.339,1.191,2026-04-24 15:58:58
CZCE,FG701,FG701,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1177.0,1170.0,1166.0,8240,51093,6.03,6.03,6.03,2332.0,2332.0,23320.0,20.0,7.94,27.94,0.341,1.198,7.94,27.94,0.341,1.198,2026-04-24 15:58:58
CZCE,FG702,FG702,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1208.0,1200.0,1200.0,78,850,6.03,6.03,6.03,2400.0,2400.0,24000.0,20.0,7.94,27.94,0.331,1.164,7.94,27.94,0.331,1.164,2026-04-24 15:58:58
CZCE,FG703,FG703,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1205.0,1198.0,1195.0,95,690,6.03,6.03,6.03,2390.0,2390.0,23900.0,20.0,7.94,27.94,0.332,1.169,7.94,27.94,0.332,1.169,2026-04-24 15:58:58
CZCE,FG704,FG704,FG,玻璃,20,1.0,1e-06,6.01,1e-06,6.01,1e-06,6.01,0.1,0,0.1,0,1231.0,1224.0,1222.0,151,750,6.03,6.03,6.03,2444.0,2444.0,24440.0,20.0,7.94,27.94,0.325,1.143,7.94,27.94,0.325,1.143,2026-04-24 15:58:58
CFFEX,IC2605,中证500期货2605,IC,中证500指数,200,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,8258.4,8265.2,8217.4,29084,45063,39.12,39.12,379.33,197217.6,197217.6,1643480.0,40.0,-38.25,1.75,-0.019,0.001,-378.45,-338.45,-0.192,-0.172,2026-04-24 15:58:58
CFFEX,IC2606,中证500期货2606,IC,中证500指数,200,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,8166.4,8177.0,8132.8,97813,154408,38.72,38.72,375.42,195187.2,195187.2,1626560.0,40.0,-37.44,2.56,-0.019,0.001,-374.14,-334.14,-0.192,-0.171,2026-04-24 15:58:58
CFFEX,IC2609,中证500期货2609,IC,中证500指数,200,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,8014.8,8028.0,7986.0,22943,82830,38.02,38.02,368.64,191664.0,191664.0,1597200.0,40.0,-36.05,3.95,-0.019,0.002,-366.67,-326.67,-0.191,-0.17,2026-04-24 15:58:58
CFFEX,IC2612,中证500期货2612,IC,中证500指数,200,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,7871.4,7889.2,7841.2,5873,11168,37.33,37.33,361.96,188188.8,188188.8,1568240.0,40.0,-34.67,5.33,-0.018,0.003,-359.29,-319.29,-0.191,-0.17,2026-04-24 15:58:58
CFFEX,IF2605,股指2605,IF,沪深300指数,300,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,4760.0,4766.0,4752.0,23628,37841,33.94,33.94,329.04,171072.0,171072.0,1425600.0,60.0,-7.88,52.12,-0.005,0.03,-302.98,-242.98,-0.177,-0.142,2026-04-24 15:58:58
CFFEX,IF2606,股指2606,IF,沪深300指数,300,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,4720.2,4724.4,4713.6,60653,138176,33.67,33.67,326.38,169689.6,169689.6,1414080.0,60.0,-7.33,52.67,-0.004,0.031,-300.04,-240.04,-0.177,-0.141,2026-04-24 15:58:58
