股票代码,股票简称,公告日期,出质人,质权人,质押数量,占总股本比例,质押解除数量,质押事项,累计质押占总股本比例
600176,中国巨石,2021-09-30,振石控股集团有限公司,中国民生银行股份有限公司杭州分行,12668.0,3.16,,本公司股东振石控股集团有限公司将持有的本公司126680000股流通A股质押给中国民生银行股份有限公司杭州分行，质押开始日期为2021年09月28日，终止日期为2022年09月28日。,9.03
600176,中国巨石,2021-09-30,振石控股集团有限公司,未披露,,5.29,21167.2605,本公司股东振石控股集团有限公司将质押的211672605股解除质押，解除日期为2021年09月27日。,5.87
600246,万通发展,2021-09-30,万通投资控股股份有限公司,江苏银行股份有限公司北京分行,,0.85,1750.0,本公司第二大股东万通投资控股股份有限公司将2021年07月12日质押给江苏银行股份有限公司北京分行的17500000股解除质押，解除日期为2021年09月28日。,7.24
600516,方大炭素,2021-09-30,辽宁方大集团实业有限公司,平安银行股份有限公司沈阳分行,5600.0,1.47,,本公司控股股东辽宁方大集团实业有限公司将持有的本公司56000000股流通A股质押给平安银行股份有限公司沈阳分行，质押开始日期为2021年09月27日，终止日期为2022年09月26日。,12.7
600516,方大炭素,2021-09-30,辽宁方大集团实业有限公司,平安银行股份有限公司沈阳分行,,1.86,7070.0,本公司控股股东辽宁方大集团实业有限公司将质押给平安银行股份有限公司沈阳分行的70700000股解除质押，解除日期为2021年09月27日。,11.23
600572,康恩贝,2021-09-30,胡季强,中信证券股份有限公司,2700.0,1.01,,本公司持股5%以上股东胡季强将持有的本公司27000000股流通A股质押给中信证券股份有限公司用于办理质押式回购业务，质押开始日期为2021年09月27日，终止日期为2022年09月27日。,3.79
600572,康恩贝,2021-09-30,胡季强,中信证券股份有限公司,,0.79,2100.0,本公司持股5%以上股东胡季强将质押给中信证券股份有限公司用于办理质押式回购业务的21000000股流通A股解除质押，回购日期为2021年09月28日。,3.0
600739,辽宁成大,2021-09-30,辽宁省国有资产经营有限公司,华夏银行股份有限公司沈阳大东支行,550.0,0.36,,本公司控股股东辽宁省国有资产经营有限公司将持有的本公司5500000股流通A股质押给华夏银行股份有限公司沈阳大东支行，质押开始日期为2021年09月28日，终止日期为2024年09月27日。,2.46
600745,闻泰科技,2021-09-30,张丹琳,云南国际信托有限公司,17.1095,0.01,,本公司股东张丹琳将持有的本公司171095股流通A股质押给云南国际信托有限公司，质押开始日期为2021年09月27日。,0.01
600745,闻泰科技,2021-09-30,张秋红,云南国际信托有限公司,30.5364,0.02,,本公司股东张秋红将持有的本公司305364股流通A股质押给云南国际信托有限公司，质押开始日期为2021年09月28日。,0.02
600866,星湖科技,2021-09-30,深圳长城汇理资产服务企业(有限合伙),东方证券股份有限公司,,1.77,1308.0,本公司股东深圳长城汇理资产服务企业(有限合伙)将质押给东方证券股份有限公司的13080000股解除质押，解除日期为2021年09月28日。,5.17
600903,贵州燃气,2021-09-30,北京东嘉投资有限公司,华能贵诚信托有限公司,,8.04,9150.778,本公司控股股东北京东嘉投资有限公司将质押给华能贵诚信托有限公司的91507780股解除质押，解除日期为2021年09月28日。,17.75
600998,九州通,2021-09-30,上海弘康实业投资有限公司,汉口银行股份有限公司汉阳支行,1560.0,0.83,,本公司股东上海弘康实业投资有限公司将持有的本公司15600000股流通A股质押给汉口银行股份有限公司汉阳支行，质押开始日期为2021年09月28日，终止日期为2022年09月27日。,12.19
601012,隆基绿能,2021-09-30,李振国,国信证券股份有限公司,,0.52,2800.0,本公司控股股东李振国将质押给国信证券股份有限公司的28000000股流通A股解除质押，解除日期为2021年09月28日。,0.85
603501,豪威集团,2021-09-30,虞仁荣,平安证券股份有限公司,59.0,0.07,,本公司控股股东虞仁荣将持有的本公司590000股流通A股质押给平安证券股份有限公司，质押开始日期为2021年09月28日，终止日期为2022年09月26日。,14.97
