序号,股东名称,股东类型,期末持股只数统计-总持有,期末持股只数统计-新进,期末持股只数统计-增加,期末持股只数统计-不变,期末持股只数统计-减少,流通市值统计,持有个股
44,招商银行股份有限公司-兴全合润混合型证券投资基金,基金,31,12.0,13.0,1.0,5.0,17119658502.61,"600690|海尔智家,600521|华海药业,002120|韵达股份,603707|健友股份,002555|三七互娱,600754|锦江酒店,900934|锦江B股,002938|鹏鼎控股,002318|久立特材,601966|玲珑轮胎"
45,挪威中央银行-自有资金,QFII,31,3.0,5.0,20.0,3.0,11101059251.156,"000998|隆平高科,600611|大众交通,900903|大众B股,600885|宏发股份,600004|白云机场,002439|启明星辰,600827|百联股份,900923|百联B股,600612|老凤祥,900905|老凤祥B"
46,中国农业银行股份有限公司-大成新锐产业混合型证券投资基金,基金,31,20.0,7.0,2.0,2.0,9359384436.77,"601058|赛轮轮胎,002154|报喜鸟,600875|东方电气,002318|久立特材,603100|川仪股份,002876|三利谱,688089|嘉必优,601857|中国石油,600378|昊华科技,002597|金禾实业"
47,广发证券股份有限公司-中庚小盘价值股票型证券投资基金,基金,31,20.0,6.0,3.0,2.0,4171337501.16,"603323|苏农银行,002527|新时达,603600|永艺股份,600579|中化装备,605186|健麾信息,603380|易德龙,600567|山鹰国际,601101|昊华能源,300687|赛意信息,002745|木林森"
48,中国工商银行股份有限公司-海富通改革驱动灵活配置混合型证券投资基金,基金,30,19.0,8.0,1.0,2.0,4619997617.23,"600782|新钢股份,600075|新疆天业,002345|潮宏基,002487|大金重工,605005|合兴股份,002110|三钢闽光,002332|仙琚制药,600884|杉杉股份,300035|中科电气,002541|鸿路钢构"
49,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,其他,30,2.0,,18.0,10.0,1522243150.863,"000539|粤电力A,200539|粤电力B,000488|ST晨鸣,200488|ST晨鸣B,600611|大众交通,900903|大众B股,600845|宝信软件,900926|宝信B,000055|方大集团,200055|方大B"
50,徐开东,个人,29,7.0,6.0,16.0,,927895043.66,"600091|退市明科,000040|*ST旭蓝,600678|四川金顶,600112|*ST天成,600758|辽宁能源,600403|大有能源,000005|ST星源,600397|江钨装备,002087|新纺退,600249|两面针"
51,九坤投资(北京)有限公司-九坤私享33号私募证券投资基金,其他,29,29.0,,,,213291733.0,"688679|通源环境,688129|东来技术,688178|万德斯,605580|恒盛能源,688669|聚石化学,688611|杭州柯林,688585|上纬新材,688195|腾景科技,688533|上声电子,688355|明志科技"
52,中国银行股份有限公司-华泰柏瑞中证光伏产业交易型开放式指数证券投资基金,基金,29,13.0,15.0,1.0,,5034202204.26,"600151|航天机电,000040|*ST旭蓝,600770|综艺股份,300316|晶盛机电,600207|安彩高科,300450|先导智能,003035|南网能源,002079|苏州固锝,300317|珈伟新能,300391|长药退"
53,国泰君安证券(香港)有限公司,券商,29,,13.0,2.0,14.0,1861682053.558,"000429|粤高速A,200429|粤高速B,000488|ST晨鸣,200488|ST晨鸣B,600639|浦东金桥,900911|金桥B股,600612|老凤祥,900905|老凤祥B,200468|宁通信B,600843|上工申贝"
